name,abbrv,color,affiliation,coauthored
Yakov Babichenko,Y. Babichenko,#ffff00,Technion,1
Swastik Kopparty,S. Kopparty,#ffff00,Rutgers University,1
Shubhangi Saraf,S. Saraf,#ffff00,Rutgers University,1
Jaikumar Radhakrishnan,J. Radhakrishnan,#ffff00,Tata Institute of Fundamental Research,1
Eli Ben-Sasson,E. Ben-Sasson,#ffff00,Technion,1
Johan Håstad,J. Håstad,#ffff00,KTH Royal Institute of Technology,1
Madhu Sudan,M. Sudan,#ffff00,Harvard University,1
Arnab Bhattacharyya,A. Bhattacharyya,#ffff00,IISc Bangalore,1
Venkatesan Guruswami,V. Guruswami,#ffff00,Carnegie Mellon University,1
David Zuckerman,D. Zuckerman,#ffff00,University of Texas at Austin,1
Elena Grigorescu,E. Grigorescu,#ffff00,Purdue University,1
Phokion Kolaitis,P. Kolaitis,#00bfff,none,1
Zeev Dvir,Z. Dvir,#ffff00,Princeton University,1
Huub van de Wetering,H. van de Wetering,#ffc0cb,TU Eindhoven,1
Jarke van Wijk,J. van Wijk,#ffc0cb,none,1
Xiaoru Yuan,X. Yuan,#ffc0cb,Peking University,1
Anna Vilanova,A. Vilanova,#ffc0cb,TU Delft,1
Kien Hua,K. Hua,#00bfff,none,0
Christian Blouin,C. Blouin,#ffc0cb,Dalhousie University,0
Luc Segoufin,L. Segoufin,#ffff00,Ecole Normale Superieure de Cachan,1
Serge Abiteboul,S. Abiteboul,#00bfff,Ecole Normale Superieure de Cachan,1
Victor Vianu,V. Vianu,#00bfff,University of California - San Diego,1
Mikolaj Bojanczyk,M. Bojanczyk,#ffff00,University of Warsaw,1
Szymon Torunczyk,S. Torunczyk,#ffff00,University of Warsaw,1
Howard Straubing,H. Straubing,#ffff00,Boston College,1
Yong Lee,Y. Lee,#32CD32,none,1
Kristen Grauman,K. Grauman,#32CD32,University of Texas at Austin,1
Alexei Efros,A. Efros,#32CD32,none,1
