name,abbrv,color,affiliation,coauthored
Jinyang Li,J. Li,#00bfff,none,1
Dariusz Kowalski,D. Kowalski,#ffff00,none,1
Tomasz Jurdzinski,T. Jurdzinski,#d3d3d3,University of Wroclaw,1
Artur Jez,A. Jez,#ffff00,University of Wroclaw,1
Grzegorz Stachowiak,G. Stachowiak,#ffff00,University of Wroclaw,1
Philip Wadler,P. Wadler,#00bfff,University of Edinburgh,1
Rajsekar Manokaran,R. Manokaran,#ffff00,IIT Madras,1
Amit Kumar,A. Kumar,#ffff00,none,1
Kurt Keutzer,K. Keutzer,#32CD32,University of California - Berkeley,1
Wei Jin,W. Jin,#00bfff,University of North Texas,1
Rohini Srihari,R. Srihari,#32CD32,none,1
Tok Ling,T. Ling,#00bfff,none,1
Farhana Choudhury,F. Choudhury,#00bfff,none,1
Mark Sanderson,M. Sanderson,#32CD32,RMIT University,1
Muriel Médard,M. Médard,#00bfff,Massachusetts Institute of Technology,1
Wenjun Hu,W. Hu,#00bfff,Yale University,1
David Naccache,D. Naccache,#ffff00,Ecole Normale Superieure,1
Jean-Sébastien Coron,J. Coron,#ffff00,University of Luxembourg,1
Alan Moses,A. Moses,#ffc0cb,none,0
Bartek Klin,B. Klin,#ffff00,University of Warsaw,1
Stacey Scott,S. Scott,#ffc0cb,none,0
Marcus Maloof,M. Maloof,#32CD32,none,0
Tibor Bosse,T. Bosse,#32CD32,VU Amsterdam,1
Jan Treur,J. Treur,#32CD32,VU Amsterdam,1
Jilles Vreeken,J. Vreeken,#32CD32,CISPA Helmholtz Center i.G.,1
Polina Golland,P. Golland,#32CD32,Massachusetts Institute of Technology,0
Dan Tsafrir,D. Tsafrir,#00bfff,Technion,1
Robert Harper,R. Harper,#00bfff,none,1
Karl Crary,K. Crary,#00bfff,Carnegie Mellon University,1
Gabriele Keller,G. Keller,#00bfff,UNSW,1
Daniel Kifer,D. Kifer,#00bfff,Pennsylvania State University,1
Alexander Ororbia,A. Ororbia,#32CD32,Rochester Institute of Technology,1
Michael Ferdman,M. Ferdman,#00bfff,Stony Brook University,1
Jaehyuk Huh,J. Huh,#00bfff,KAIST,1
Babak Falsafi,B. Falsafi,#00bfff,EPFL,1
Djordje Jevdjic,D. Jevdjic,#00bfff,National University of Singapore,1
Boris Grot,B. Grot,#00bfff,University of Edinburgh,1
Nikolaos Hardavellas,N. Hardavellas,#00bfff,Northwestern University,1
Demetri Terzopoulos,D. Terzopoulos,#ffc0cb,University of California - Los Angeles,1
Lap-Fai Yu,L. Yu,#ffc0cb,University of Massachusetts Boston,1
Anuj Dawar,A. Dawar,#ffff00,University of Cambridge,1
Martin Grohe,M. Grohe,#ffff00,RWTH Aachen,1
Samson Abramsky,S. Abramsky,#ffff00,University of Oxford,1
Erich Grädel,E. Grädel,#ffff00,RWTH Aachen,1
Songqing Chen,S. Chen,#00bfff,George Mason University,1
Marie desJardins,M. desJardins,#32CD32,Univ. of Maryland - Baltimore County,1
Michael Littman,M. Littman,#32CD32,none,1
Stefanie Tellex,S. Tellex,#ffc0cb,Brown University,1
Penny Rheingans,P. Rheingans,#ffc0cb,Univ. of Maryland - Baltimore County,1
Mirek Riedewald,M. Riedewald,#00bfff,Northeastern University,1
Kenneth Heafield,K. Heafield,#32CD32,University of Edinburgh,1
John Savage,J. Savage,#00bfff,none,0
Chris Parnin,C. Parnin,#00bfff,North Carolina State University,1
Hadi Hosseini,H. Hosseini,#32CD32,Rochester Institute of Technology,1
Jesse Hoey,J. Hoey,#32CD32,University of Waterloo,1
Haixu Tang,H. Tang,#ffc0cb,Indiana University,1
Marc Pouzet,M. Pouzet,#00bfff,Ecole Normale Superieure,1
Timothy Bourke,T. Bourke,#00bfff,Ecole Normale Superieure,1
Albert Cohen,A. Cohen,#00bfff,none,1
Rebecca Willett,R. Willett,#32CD32,University of Chicago,1
Weisong Shi,W. Shi,#ffc0cb,Wayne State University,1
Monica Brockmeyer,M. Brockmeyer,#ffc0cb,Wayne State University,1
Nathan Fisher,N. Fisher,#00bfff,Wayne State University,1
Loren Schwiebert,L. Schwiebert,#d3d3d3,Wayne State University,1
Sirong Lin,S. Lin,#d3d3d3,University of Massachusetts Lowell,1
Tien Nguyen,T. Nguyen,#00bfff,none,1
Yu Liu,Y. Liu,#00bfff,none,1
Ulrik Schroeder,U. Schroeder,#ffc0cb,RWTH Aachen,0
Ryan Farrell,R. Farrell,#32CD32,Brigham Young University,1
David Doermann,D. Doermann,#32CD32,none,1
Alexander Gray,A. Gray,#32CD32,none,1
Shahin Kamali,S. Kamali,#d3d3d3,University of Manitoba,1
Khuzaima Daudjee,K. Daudjee,#00bfff,University of Waterloo,1
Patrick Baillot,P. Baillot,#ffff00,Ecole Normale Superieure de Lyon,0
Zhigang Zhu,Z. Zhu,#ffc0cb,CUNY,1
Theodore Raphan,T. Raphan,#ffc0cb,CUNY,1
Stefan Kopp,S. Kopp,#32CD32,Bielefeld University,0
Wolfgang Emmerich,W. Emmerich,#00bfff,University College London,1
Chee Chan,C. Chan,#00bfff,none,1
Jian Cao,J. Cao,#32CD32,Shanghai Jiao Tong University,1
Dawei Jiang,D. Jiang,#00bfff,Zhejiang University,1
John Shepherd,J. Shepherd,#32CD32,UNSW,1
Panos Kalnis,P. Kalnis,#00bfff,KAUST,1
Mario Nascimento,M. Nascimento,#00bfff,none,1
Xin Cao,X. Cao,#00bfff,UNSW,1
Omid Salehi-Abari,O. Salehi-Abari,#00bfff,University of Waterloo,1
Rotem Oshman,R. Oshman,#ffff00,Tel Aviv University,1
Andrew Drucker,A. Drucker,#ffff00,University of Chicago,1
Andréa Richa,A. Richa,#ffff00,none,1
Yoram Moses,Y. Moses,#32CD32,Technion,1
John Anderson,J. Anderson,#ffc0cb,University of Manitoba,1
Derek Nowrouzezahrai,D. Nowrouzezahrai,#ffc0cb,McGill University,1
Grzegorz Kondrak,G. Kondrak,#32CD32,University of Alberta,1
Hua Xu,H. Xu,#32CD32,Tsinghua University,1
Mengjie Zhang,M. Zhang,#32CD32,Victoria University of Wellington,1
W. Kleijn,W. Kleijn,#32CD32,none,1
Brent Hecht,B. Hecht,#ffc0cb,none,1
Doug Downey,D. Downey,#32CD32,Northwestern University,1
Michael Horn,M. Horn,#ffc0cb,none,1
Nuno Nunes,N. Nunes,#ffc0cb,none,1
Vassilis Athitsos,V. Athitsos,#32CD32,University of Texas at Arlington,1
Margrit Betke,M. Betke,#32CD32,Boston University,1
Tracy Hammond,T. Hammond,#32CD32,Texas A&M University,1
Daniel Goldberg,D. Goldberg,#ffc0cb,none,1
Sasa Misailovic,S. Misailovic,#00bfff,Univ. of Illinois at Urbana-Champaign,1
Yuval Emek,Y. Emek,#ffff00,Technion,1
Hariharan Narayanan,H. Narayanan,#ffff00,Tata Institute of Fundamental Research,1
Thomas Hayes,T. Hayes,#ffff00,none,1
Paul Schrater,P. Schrater,#32CD32,none,1
Daniel Boley,D. Boley,#32CD32,University of Minnesota,1
Javad Sadri,J. Sadri,#ffc0cb,Concordia University,1
Mathieu Blanchette,M. Blanchette,#ffc0cb,McGill University,1
Friedrich Eisenbrand,F. Eisenbrand,#ffff00,EPFL,1
Fuhua Cheng,F. Cheng,#ffc0cb,University of Kentucky,1
Ruigang Yang,R. Yang,#32CD32,University of Kentucky,1
Cristiano Calcagno,C. Calcagno,#00bfff,Imperial College London,1
Philippa Gardner,P. Gardner,#00bfff,Imperial College London,1
James Brotherston,J. Brotherston,#00bfff,University College London,1
Santosh Biswas,S. Biswas,#d3d3d3,IIT Guwahati,1
Arnab Sarkar,A. Sarkar,#d3d3d3,IIT Guwahati,1
Jeff Huang,J. Huang,#00bfff,none,1
Paulo Pagliosa,P. Pagliosa,#ffc0cb,none,1
Chaur-Chin Chen,C. Chen,#ffc0cb,National Tsing Hua University,0
Calvin Lin,C. Lin,#00bfff,University of Texas at Austin,1
Isil Dillig,I. Dillig,#00bfff,University of Texas at Austin,1
Ben Hardekopf,B. Hardekopf,#00bfff,University of California - Santa Barbara,1
Tak-Kei Lam,T. Lam,#00bfff,Chinese University of Hong Kong,0
Dusko Pavlovic,D. Pavlovic,#ffff00,University of Hawaii at Manoa,1
Peter-Michael Seidel,P. Seidel,#ffff00,University of Hawaii at Manoa,1
Claudio Orlandi,C. Orlandi,#ffff00,Aarhus University,1
Nico Döttling,N. Döttling,#ffff00,CISPA Helmholtz Center i.G.,1
Tiow Tan,T. Tan,#ffc0cb,none,0
Simone Teufel,S. Teufel,#32CD32,University of Cambridge,0
Prosenjit Bose,P. Bose,#ffff00,Carleton University,1
Pat Morin,P. Morin,#ffff00,Carleton University,1
Stephane Durocher,S. Durocher,#d3d3d3,University of Manitoba,1
Anil Maheshwari,A. Maheshwari,#ffff00,Carleton University,1
Ricardo Marroquim,R. Marroquim,#ffc0cb,UFRJ,0
Narges Mahyar,N. Mahyar,#ffc0cb,University of Massachusetts Amherst,0
Levi Lelis,L. Lelis,#32CD32,Universidade Federal de Viçosa,1
Robert Holte,R. Holte,#32CD32,University of Alberta,1
Mike Barley,M. Barley,#32CD32,University of Auckland,1
Rina Dechter,R. Dechter,#32CD32,University of California - Irvine,1
Antonio Frangioni,A. Frangioni,#ffff00,University of Pisa,1
Rossano Venturini,R. Venturini,#32CD32,University of Pisa,1
Li-Shiuan Peh,L. Peh,#00bfff,National University of Singapore,1
Nathan Beckmann,N. Beckmann,#00bfff,Carnegie Mellon University,1
Xiaojun Cao,X. Cao,#d3d3d3,Georgia State University,0
Goran Nenadic,G. Nenadic,#ffc0cb,University of Manchester,1
Robert Stevens,R. Stevens,#ffc0cb,University of Manchester,1
Yao Liu,Y. Liu,#00bfff,University of South Florida,1
Haojin Zhu,H. Zhu,#00bfff,Shanghai Jiao Tong University,1
Xiaohui Liang,X. Liang,#00bfff,University of Massachusetts Boston,1
Rajat Mittal,R. Mittal,#ffc0cb,IIT Kanpur,1
Ben Reichardt,B. Reichardt,#ffff00,University of Southern California,1
Juergen Rilling,J. Rilling,#00bfff,Concordia University,0
Vivek Chaturvedi,V. Chaturvedi,#d3d3d3,Nanyang Technological University,0
Sofya Raskhodnikova,S. Raskhodnikova,#ffff00,Boston University,1
Piotr Berman,P. Berman,#ffff00,Pennsylvania State University,1
Silas Richelson,S. Richelson,#ffff00,University of California - Riverside,1
Xin 0006,X. 0006,#ffff00,none,1
Alexander Sherstov,A. Sherstov,#ffff00,none,1
Eshan Chattopadhyay,E. Chattopadhyay,#ffff00,Cornell University,1
Hemanta Maji,H. Maji,#ffff00,none,1
Manoj Prabhakaran,M. Prabhakaran,#ffff00,IIT Bombay,1
Kun-Pyo Lee,K. Lee,#ffc0cb,KAIST,0
Junehwa Song,J. Song,#00bfff,KAIST,1
Uichin Lee,U. Lee,#ffc0cb,KAIST,1
John Kim,J. Kim,#00bfff,KAIST,1
Sunghoon Lee,S. Lee,#00bfff,none,1
Insik Shin,I. Shin,#00bfff,KAIST,1
Emanuele Trucco,E. Trucco,#32CD32,University of Dundee,0
Boudewijn Lelieveldt,B. Lelieveldt,#ffc0cb,none,1
Arnab Nandi,A. Nandi,#00bfff,none,1
Manish Singh,M. Singh,#ffc0cb,Rutgers University,1
Michael Mandel,M. Mandel,#00bfff,CUNY,1
Arun Ross,A. Ross,#32CD32,Michigan State University,1
Anil Jain,A. Jain,#32CD32,none,1
José Martínez,J. Martínez,#00bfff,none,1
Engin Ipek,E. Ipek,#00bfff,University of Rochester,1
Mainak Chaudhuri,M. Chaudhuri,#00bfff,IIT Kanpur,1
Jonathan Schaeffer,J. Schaeffer,#32CD32,University of Alberta,1
Feng Yan,F. Yan,#32CD32,none,1
Florian Kerschbaum,F. Kerschbaum,#00bfff,University of Waterloo,1
Eric Vigoda,E. Vigoda,#ffff00,Georgia Institute of Technology,1
Daniel Stefankovic,D. Stefankovic,#ffff00,University of Rochester,1
Mohamed Gouda,M. Gouda,#d3d3d3,none,1
Partha Mukhopadhyay,P. Mukhopadhyay,#ffff00,CMI,1
Emmanuel Abbe,E. Abbe,#32CD32,Princeton University,1
Yuval Rabani,Y. Rabani,#ffff00,Hebrew University of Jerusalem,1
Michel Kinsy,M. Kinsy,#00bfff,none,1
G. Suh,G. Suh,#00bfff,none,1
Marc Dacier,M. Dacier,#00bfff,EURECOM,1
Mashael AlSabah,M. AlSabah,#00bfff,Qatar University,1
Jürgen Schmidhuber,J. Schmidhuber,#32CD32,Università della Svizzera italiana,1
Eldar Fischer,E. Fischer,#ffff00,Technion,1
Alexandros Dimakis,A. Dimakis,#32CD32,none,1
Abram Hindle,A. Hindle,#00bfff,University of Alberta,1
Virgil Gligor,V. Gligor,#00bfff,Carnegie Mellon University,1
Deepak Garg,D. Garg,#00bfff,none,1
Wenke Lee,W. Lee,#00bfff,Georgia Institute of Technology,1
Sang Cha,S. Cha,#00bfff,none,1
Kwang Yi,K. Yi,#32CD32,none,1
Richard Lipton,R. Lipton,#00bfff,none,1
Jun Xu,J. Xu,#00bfff,none,1
Tiffany Bao,T. Bao,#00bfff,Arizona State University,1
Winston Hsu,W. Hsu,#32CD32,none,1
Hsuan-Tien Lin,H. Lin,#32CD32,National Taiwan University,1
B. Badrinath,B. Badrinath,#d3d3d3,none,1
Desheng Zhang,D. Zhang,#00bfff,Rutgers University,1
Ronald Cramer,R. Cramer,#ffff00,CWI,1
Paul Klint,P. Klint,#d3d3d3,CWI,1
Jurgen Vinju,J. Vinju,#d3d3d3,none,1
Henry Thompson,H. Thompson,#32CD32,University of Edinburgh,0
Sanjiv Kapoor,S. Kapoor,#d3d3d3,Illinois Institute of Technology,1
Shivakant Mishra,S. Mishra,#00bfff,University of Colorado Boulder,1
Sangtae Ha,S. Ha,#00bfff,University of Colorado Boulder,1
Jyh-Ming Lien,J. Lien,#ffc0cb,George Mason University,1
Jana Kosecka,J. Kosecka,#ffc0cb,George Mason University,1
Nancy Amato,N. Amato,#ffc0cb,none,1
Yotam Gingold,Y. Gingold,#ffc0cb,none,1
Alexander Binder,A. Binder,#32CD32,SUTD,0
Zhiyuan Liu,Z. Liu,#32CD32,none,1
Lei Xu,L. Xu,#ffc0cb,Shanghai Jiao Tong University,1
Toshiya Hachisuka,T. Hachisuka,#ffc0cb,University of Tokyo,1
Henrik Jensen,H. Jensen,#ffc0cb,none,1
Wojciech Jarosz,W. Jarosz,#ffc0cb,Dartmouth College,1
Matthias Zwicker,M. Zwicker,#ffc0cb,University of Maryland - College Park,1
Shree Nayar,S. Nayar,#32CD32,none,1
Ronald Metoyer,R. Metoyer,#ffc0cb,none,1
Victor Zordan,V. Zordan,#ffc0cb,none,1
Cody Dunne,C. Dunne,#ffc0cb,Northeastern University,1
Aaram Yun,A. Yun,#ffff00,UNIST,1
Yongdae Kim,Y. Kim,#00bfff,KAIST,1
Aziz Mohaisen,A. Mohaisen,#00bfff,University of Central Florida,1
Vassos Hadzilacos,V. Hadzilacos,#d3d3d3,University of Toronto,1
Sam Toueg,S. Toueg,#d3d3d3,University of Toronto,1
Tse-Hsun Chen,T. Chen,#00bfff,Concordia University,1
Weiyi Shang,W. Shang,#00bfff,Concordia University,1
Allan Ramsay,A. Ramsay,#32CD32,University of Manchester,0
Siau-Cheng Khoo,S. Khoo,#00bfff,National University of Singapore,1
Yuting Chen,Y. Chen,#00bfff,Shanghai Jiao Tong University,1
Xiaoyin Wang,X. Wang,#00bfff,University of Texas at San Antonio,1
Svetlana Yarosh,S. Yarosh,#ffc0cb,University of Minnesota,1
Anthony Tang,A. Tang,#ffc0cb,none,1
Fangzhen Lin,F. Lin,#32CD32,HKUST,1
Jia-Huai You,J. You,#32CD32,University of Alberta,1
Mikhail Soutchanski,M. Soutchanski,#32CD32,Ryerson University,1
N. Asokan,N. Asokan,#00bfff,Aalto University,1
Sven Bugiel,S. Bugiel,#00bfff,CISPA Helmholtz Center i.G.,1
Michael Franz,M. Franz,#00bfff,University of California - Irvine,1
Stefan Nürnberger,S. Nürnberger,#00bfff,CISPA Helmholtz Center i.G.,1
Michael Waidner,M. Waidner,#00bfff,TU Darmstadt,1
Alexander Rakhlin,A. Rakhlin,#32CD32,University of Pennsylvania,1
Abtin Rahimian,A. Rahimian,#00bfff,University of Colorado Boulder,1
Denis Zorin,D. Zorin,#ffc0cb,New York University,1
Aparna Chandramowlishwaran,A. Chandramowlishwaran,#00bfff,University of California - Irvine,1
Fahad Dogar,F. Dogar,#00bfff,none,1
Peter Steenkiste,P. Steenkiste,#00bfff,Carnegie Mellon University,1
Wenfei Wu,W. Wu,#00bfff,Tsinghua University,1
Daniel Roy,D. Roy,#32CD32,none,1
Huan Liu,H. Liu,#ffc0cb,Arizona State University,1
Iain Murray,I. Murray,#32CD32,none,1
Michael Niemier,M. Niemier,#00bfff,none,1
Xiaobo Hu,X. Hu,#00bfff,University of Notre Dame,1
Sayeef Salahuddin,S. Salahuddin,#00bfff,University of California - Berkeley,1
Yuanyuan Zhang,Y. Zhang,#00bfff,Shanghai Jiao Tong University,1
Sameer Singh,S. Singh,#32CD32,none,1
Aron Culotta,A. Culotta,#32CD32,Illinois Institute of Technology,1
Jinho Choi,J. Choi,#32CD32,none,1
Christopher Pal,C. Pal,#32CD32,none,1
Xiaojin Zhu,X. Zhu,#32CD32,none,1
Kei Okada,K. Okada,#ffc0cb,University of Tokyo,1
Gabe Sibley,G. Sibley,#ffc0cb,University of Colorado Boulder,1
Antonia Zhai,A. Zhai,#00bfff,University of Minnesota,1
Yanyan Lan,Y. Lan,#32CD32,Chinese Academy of Sciences,1
Yael Amsterdamer,Y. Amsterdamer,#00bfff,Bar-Ilan University,1
Daniel Deutch,D. Deutch,#00bfff,Tel Aviv University,1
Wei Meng,W. Meng,#00bfff,none,1
Byoungyoung Lee,B. Lee,#00bfff,Purdue University,1
Jun 0024,J. 0024,#00bfff,none,1
Yeongjin Jang,Y. Jang,#00bfff,Oregon State University,1
Bing Mao,B. Mao,#00bfff,Nanjing University,1
Jian 0006,J. 0006,#00bfff,none,1
Hui Ma,H. Ma,#00bfff,Victoria University of Wellington,1
Barbara Masucci,B. Masucci,#00bfff,University of Salerno,1
Alfredo De Santis,A. De Santis,#00bfff,University of Salerno,1
Giuseppe Ateniese,G. Ateniese,#00bfff,Stevens Institute of Technology,1
Francesco Palmieri,F. Palmieri,#32CD32,University of Salerno,1
Bruno Carpentieri,B. Carpentieri,#d3d3d3,University of Salerno,1
Lui Sha,L. Sha,#00bfff,Univ. of Illinois at Urbana-Champaign,1
Arvind Easwaran,A. Easwaran,#00bfff,Nanyang Technological University,1
Rahul Mangharam,R. Mangharam,#00bfff,University of Pennsylvania,1
Hongfei Yan,H. Yan,#32CD32,Peking University,1
William Cheung,W. Cheung,#32CD32,none,1
Sahand Negahban,S. Negahban,#32CD32,Yale University,1
Carsten Steger,C. Steger,#ffc0cb,TU Munich,0
Yang 0009,Y. 0009,#32CD32,none,1
Jan Strejcek,J. Strejcek,#ffff00,Masaryk University,1
Gokhan Memik,G. Memik,#00bfff,Northwestern University,1
Donatella Sciuto,D. Sciuto,#00bfff,Politecnico di Milano,1
Andreas Henschel,A. Henschel,#ffc0cb,Masdar Institute,0
Michael Elad,M. Elad,#32CD32,Technion,1
Inah Omoronyia,I. Omoronyia,#00bfff,University of Glasgow,0
Wim Vanderbauwhede,W. Vanderbauwhede,#d3d3d3,University of Glasgow,0
Mark Clement,M. Clement,#ffc0cb,none,1
Quinn Snell,Q. Snell,#ffc0cb,Brigham Young University,1
Catholijn Jonker,C. Jonker,#32CD32,TU Delft,1
Wally Smith,W. Smith,#ffc0cb,University of Melbourne,1
Musard Balliu,M. Balliu,#00bfff,KTH Royal Institute of Technology,1
Roberto Guanciale,R. Guanciale,#00bfff,KTH Royal Institute of Technology,1
Mads Dam,M. Dam,#00bfff,KTH Royal Institute of Technology,1
Kamil Saraç,K. Saraç,#00bfff,University of Texas at Dallas,1
Mehmet Gunes,M. Gunes,#00bfff,none,1
Angelika Steger,A. Steger,#ffff00,ETH Zurich,1
Joel Spencer,J. Spencer,#ffff00,New York University,1
Dan Hefetz,D. Hefetz,#ffff00,Ariel University,1
Semih Salihoglu,S. Salihoglu,#00bfff,University of Waterloo,1
Aditya Parameswaran,A. Parameswaran,#00bfff,none,1
Zheng Zhang,Z. Zhang,#32CD32,none,0
Linhai Song,L. Song,#00bfff,Pennsylvania State University,1
Yongwei Wu,Y. Wu,#00bfff,Tsinghua University,1
Brian Demsky,B. Demsky,#00bfff,University of California - Irvine,1
Raluca Popa,R. Popa,#00bfff,none,1
Aditya Thakur,A. Thakur,#ffff00,University of California - Davis,1
Thomas Abeel,T. Abeel,#ffc0cb,TU Delft,0
Marco Valtorta,M. Valtorta,#32CD32,University of South Carolina,0
Antonio González,A. González,#00bfff,none,1
Dimitris Gizopoulos,D. Gizopoulos,#00bfff,University of Athens,1
Joan-Manuel Parcerisa,J. Parcerisa,#00bfff,Polytechnic University of Catalonia,1
Ramon Canal,R. Canal,#00bfff,Polytechnic University of Catalonia,1
Chia-Lin Yang,C. Yang,#00bfff,National Taiwan University,1
Chih-Wen Hsueh,C. Hsueh,#00bfff,National Taiwan University,1
Radu Marculescu,R. Marculescu,#00bfff,Carnegie Mellon University,1
M. Balakrishnan,M. Balakrishnan,#00bfff,IIT Delhi,1
Preeti Panda,P. Panda,#00bfff,none,1
Jesse Heines,J. Heines,#32CD32,none,0
Martina Rau,M. Rau,#ffc0cb,none,1
Sutanu Chakraborti,S. Chakraborti,#32CD32,IIT Madras,0
Ifeoma Nwogu,I. Nwogu,#32CD32,Rochester Institute of Technology,1
Chenliang Xu,C. Xu,#32CD32,University of Rochester,1
Guy McCusker,G. McCusker,#ffff00,University of Bath,1
James Laird,J. Laird,#ffff00,University of Bath,1
Nina Amenta,N. Amenta,#ffc0cb,University of California - Davis,1
Chen Greif,C. Greif,#ffc0cb,University of British Columbia,1
Mohammad Ghodsi,M. Ghodsi,#32CD32,Sharif University of Technology,1
Martin Elsman,M. Elsman,#00bfff,University of Copenhagen,1
Cosmin Oancea,C. Oancea,#00bfff,none,1
Fritz Henglein,F. Henglein,#00bfff,University of Copenhagen,1
Patrick Bahr,P. Bahr,#ffff00,IT University of Copenhagen,1
Aurelien Francillon,A. Francillon,#00bfff,EURECOM,1
Neeraj Suri,N. Suri,#00bfff,TU Darmstadt,1
Warren Powell,W. Powell,#32CD32,none,1
Suchi Saria,S. Saria,#32CD32,Johns Hopkins University,0
Erkut Erdem,E. Erdem,#32CD32,Hacettepe University,1
Aykut Erdem,A. Erdem,#ffc0cb,Hacettepe University,1
Lihi Zelnik-Manor,L. Zelnik-Manor,#32CD32,Technion,1
Mor Harchol-Balter,M. Harchol-Balter,#00bfff,Carnegie Mellon University,1
Subhasish Mitra,S. Mitra,#00bfff,Stanford University,1
Yanjing Li,Y. Li,#00bfff,University of Chicago,1
Luke Olson,L. Olson,#00bfff,Univ. of Illinois at Urbana-Champaign,1
Marc Snir,M. Snir,#00bfff,Univ. of Illinois at Urbana-Champaign,1
Heni Amor,H. Amor,#ffc0cb,none,1
Pai Chou,P. Chou,#00bfff,none,0
Peter van Beek,P. van Beek,#32CD32,University of Waterloo,1
Yongfeng Zhang,Y. Zhang,#32CD32,Rutgers University,1
Marek Grzes,M. Grzes,#32CD32,University of Kent,1
Yuying Li,Y. Li,#32CD32,University of Waterloo,1
Laurent Charlin,L. Charlin,#32CD32,HEC Montreal,1
Dale Schuurmans,D. Schuurmans,#32CD32,University of Alberta,1
Prashant Doshi,P. Doshi,#32CD32,University of Georgia,1
Scott Niekum,S. Niekum,#ffc0cb,University of Texas at Austin,1
Francisco Servant,F. Servant,#00bfff,Virginia Tech,1
Matteo Matteucci,M. Matteucci,#ffc0cb,Politecnico di Milano,1
Marco Masseroli,M. Masseroli,#ffc0cb,Politecnico di Milano,1
Jan Chorowski,J. Chorowski,#32CD32,University of Wroclaw,1
Yoshua Bengio,Y. Bengio,#32CD32,University of Montreal,1
Alexandre Falcão,A. Falcão,#ffc0cb,none,0
William Regli,W. Regli,#32CD32,none,0
Radu Grigore,R. Grigore,#00bfff,University of Kent,1
Hadi Esmaeilzadeh,H. Esmaeilzadeh,#00bfff,University of California - San Diego,1
Changwoo Min,C. Min,#00bfff,Virginia Tech,1
Shih-Wei Liao,S. Liao,#00bfff,National Taiwan University,0
Steven Reiss,S. Reiss,#00bfff,none,1
Fabio Crestani,F. Crestani,#32CD32,Università della Svizzera italiana,1
Murat Dundar,M. Dundar,#32CD32,IUPUI,1
Jinbo Bi,J. Bi,#32CD32,University of Connecticut,1
Yifeng Chen,Y. Chen,#00bfff,Peking University,1
Haiyan Zhao,H. Zhao,#00bfff,Peking University,1
Gregg Rothermel,G. Rothermel,#00bfff,University of Nebraska,1
Wei Zhang,W. Zhang,#d3d3d3,none,1
Lingming Zhang,L. Zhang,#00bfff,University of Texas at Dallas,1
Jiasu Sun,J. Sun,#00bfff,Peking University,1
Jie Xiong,J. Xiong,#00bfff,none,1
Yasha Wang,Y. Wang,#ffc0cb,Peking University,1
Fuqing Yang,F. Yang,#00bfff,Peking University,1
Hao Zhong,H. Zhong,#00bfff,Shanghai Jiao Tong University,1
Sanjoy Baruah,S. Baruah,#00bfff,Washington University in St. Louis,1
Rob van Nieuwpoort,R. van Nieuwpoort,#00bfff,VU Amsterdam,1
Sunil Prabhakar,S. Prabhakar,#00bfff,Purdue University,1
Raissa D'Souza,R. D'Souza,#00bfff,University of California - Davis,1
Abraham Bernstein,A. Bernstein,#32CD32,University of Zurich,1
Daniela Damian,D. Damian,#00bfff,University of Victoria,1
Tomasz Kazana,T. Kazana,#ffff00,University of Warsaw,1
George Kesidis,G. Kesidis,#00bfff,Pennsylvania State University,1
Bhuvan Urgaonkar,B. Urgaonkar,#00bfff,Pennsylvania State University,1
Leonard McMillan,L. McMillan,#ffc0cb,University of North Carolina,1
Jinze Liu,J. Liu,#ffc0cb,University of Kentucky,1
Jun Huan,J. Huan,#32CD32,University of Kansas,1
Jianbin Qin,J. Qin,#00bfff,UNSW,1
Daniel Romero,D. Romero,#32CD32,University of Michigan,1
Tom Yeh,T. Yeh,#ffc0cb,University of Colorado Boulder,1
Meeyoung Cha,M. Cha,#00bfff,KAIST,1
Krishna Gummadi,K. Gummadi,#00bfff,none,1
Bimal Viswanath,B. Viswanath,#32CD32,Virginia Tech,1
Jürgen Dingel,J. Dingel,#00bfff,Queen’s University,1
T. Graham,T. Graham,#ffc0cb,none,1
Zhiling Lan,Z. Lan,#00bfff,Illinois Institute of Technology,0
Alexander Herzog,A. Herzog,#ffc0cb,Clemson University,1
Ashish Choudhury,A. Choudhury,#ffff00,IIIT Bangalore,1
Arpita Patra,A. Patra,#ffff00,IISc Bangalore,1
Manolis Kellis,M. Kellis,#ffc0cb,Massachusetts Institute of Technology,1
Lindsey Kuper,L. Kuper,#00bfff,University of California - Santa Cruz,1
Ryan Newton,R. Newton,#00bfff,Indiana University,1
Sam Tobin-Hochstadt,S. Tobin-Hochstadt,#00bfff,Indiana University,1
Natalie Parde,N. Parde,#32CD32,University of Illinois at Chicago,1
Rodney Nielsen,R. Nielsen,#32CD32,University of North Texas,1
Trevor McDonell,T. McDonell,#d3d3d3,none,1
Toby Murray,T. Murray,#00bfff,none,1
Ben Shneiderman,B. Shneiderman,#ffc0cb,University of Maryland - College Park,1
Mustafa Bilgic,M. Bilgic,#32CD32,none,1
Jennifer Golbeck,J. Golbeck,#32CD32,University of Maryland - College Park,1
Wenxin Li,W. Li,#d3d3d3,Peking University,1
Weinan Zhang,W. Zhang,#32CD32,Shanghai Jiao Tong University,1
Cormac Flanagan,C. Flanagan,#00bfff,University of California - Santa Cruz,1
Mohammed El-Kebir,M. El-Kebir,#ffc0cb,Univ. of Illinois at Urbana-Champaign,1
Khaled Elbassioni,K. Elbassioni,#ffff00,none,1
